0.696459609142842            7466,Lv. 1 Hero Shot,27,40+ or 51,7,12,72,5,19.88pps,1191,18,122.5,175,175,,,,
,SHOOTERS,frames needed to splat from neutral position                  (Burst Bomb),frames needed to splat an ink armored foe (Burst Bomb) [object shredder],frames needed to reach effective range,frames between hits                                            (frames spent in each burst),frames needed to cycle through droplet patterns,hits per second,maximum potential turf coverage speed,frames needed to empty a default ink tank (Salmon Run),frames between firing and ink recovery starting,damage per second vs held brellas,damage per second vs Rainmaker shield,damage per second vs Salmonids,,,,
,Splattershot,15,28+ or 33,7,6,36,10,39.75pps,597,18,245,350,350,,,,
,.52 Gal,12,25+ or 30,7,9,45,6.67,36.19pps,678,18,242.67,346.67,346.67,,,,
,N-ZAP,18,36[31]+ or 38[33],7,5,55,12,42.54pps,623 (583),18,235.2,336,336,,,,
,Splattershot Jr.,18,36[31]+ or 38[33],7,5,35,12,52.76pps,998,18,235.2,336,336,,,,
,Aerospray,19,36[32]+ or 39[35],7,4,32,15,51.94pps,719,18,252,360,360,,,,
,Splash-o-matic,18,36[31]+ or 38[33],3,5,30,12,50.57pps,623,18,235.2,336,336,,,,
,Sploosh-o-matic,13,26+ or 28,5,5,25,12,55.36pps,623,18,319.2,456,540,,,,
,Splattershot Pro,19,32+ or 35,6,8,64,7.5,33.02pps,395,18,220.5,315,337.5,,,,
,.96 Gal,15,28+ or 39,8,12,60,5,32.01pps,471,18,217,310,425,,,,
,Jet Squelcher,27 (23),40(36)+ or 43(39),8,8,64,7.5,33.39pps,491,18,168,240,262.5,,,,
,L-3 Nozzlenose,21,39,7,4 (18),58/58/64,10,53.67pps,597,23,203,290,400,,,,
,H-3 Nozzlenose,13,45,7,5 (32),42/59/59,5.63,40.88pps,579,23,161.44,230.63,337.5,,,,
,Squeezer(single fire),19,32+ or 35,7,8,64,7.5,26.8pps,315,18,199.5,285,337.5,,,,
,Squeezer(auto fire),24,38,6,7,35,8.57,30.35pps,675,18,180,257.14,257.14,,,,
